id,date,count,growth
LBY,2002,221.28317,0.030385669580202723
LBY,2003,218.0163,-0.014873362918872424
LBY,2004,223.34734,0.024158307532114343
LBY,2005,230.98123,0.03360831364091865
LBY,2006,211.7974,-0.08670629444900246
LBY,2007,210.39842,-0.006627186030481624
LBY,2008,218.43176,0.037470683213872036
LBY,2009,249.98701,0.1349353019687527
LBY,2010,263.62225,0.05310825074813508
LBY,2011,173.02005,-0.4211097235242951
LBY,2012,215.58334,0.21994007958575867
LBY,2013,231.87094,0.0728333604525675
LBY,2014,226.45312,-0.023642975991225335
LBY,2015,180.20953,-0.22841771832480617
LBY,2016,176.38931,-0.021426688629061275
LBY,2017,199.04042,0.12081437884785284
LBY,2018,205.10458,0.030012075722259723
LBY,2019,212.98204,0.03768784750606624
LBY,2020,186.52736,-0.13262991216853948
LBY,2021,190.40862,0.020594463704720845
LCA,1980,0.4683577,
LCA,1981,0.35030854,-0.2904180112061524
LCA,1982,0.46707806,0.2876820867249129
LCA,1983,0.40869328,-0.13353144767803227
LCA,1984,0.40981302,0.002736058839211686
LCA,1985,0.5254628,0.2485783911912295
LCA,1986,0.5271968,0.0032945152799219724
LCA,1987,0.5748212,0.08648512255146246
LCA,1988,0.73377025,0.24413693279858933
LCA,1989,0.7319771,-0.002446739398249742
LCA,1990,0.7319771,0.0
LCA,1991,0.7319771,0.0
LCA,1992,0.73377025,0.002446739398249742
LCA,1993,0.7319771,-0.002446739398249742
LCA,1994,0.8645196,0.16642474761216838
LCA,1995,0.8645196,0.0
LCA,1996,0.8666404,0.0024501502587534196
LCA,1997,0.8645196,-0.0024501502587534196
LCA,1998,0.8645196,0.0
LCA,1999,0.86453,1.2029730089985202e-05
LCA,2000,1.4649984,0.5274234226391954
LCA,2001,1.5886995,0.08106160670279838
LCA,2002,1.435502,-0.10140114320027832
LCA,2003,1.5884622,0.10125176458952567
LCA,2004,1.5941045,0.0035457581526489035
LCA,2005,1.644353,0.03103485721659549
LCA,2006,1.6587405,0.008711585664105903
LCA,2007,1.7149497,0.033325171298062894
LCA,2008,1.7625866,0.02739863850726476
LCA,2009,1.7193571,-0.024831947366201312
LCA,2010,1.7970566,0.044199662361961156
LCA,2011,1.823979,0.014870274183220844
LCA,2012,1.8156713,-0.004565116834385208
LCA,2013,1.8109919,-0.00258055536934354
LCA,2014,1.8287804,0.009774590366414482
LCA,2015,1.8412378,0.006788766248628564
LCA,2016,1.8611505,0.01075678205072017
LCA,2017,2.017484,0.0806563456333299
LCA,2018,1.8545495,-0.08420938110136234
LCA,2019,2.7253225,0.3849449603144446
LCA,2020,2.296203,-0.17132988055329157
LCA,2021,2.4433672,0.06212019879710573
LKA,1965,10.453816,
LKA,1966,10.781162,0.030833272661957345
LKA,1967,11.0466795,0.0243295331882325
LKA,1968,11.483015,0.038739102004332615
LKA,1969,11.926895,0.03792694693077525
LKA,1970,19.763578,0.5050448147996804
LKA,1971,20.13109,0.018424637421000867
LKA,1972,21.11649,0.047788865621122945
LKA,1973,21.854216,0.034339603029221344
LKA,1974,18.762316,-0.152543464757823
LKA,1975,19.575476,0.04242716819571957
LKA,1976,19.24833,-0.016853254587983812
LKA,1977,20.680182,0.07175154665143646
LKA,1978,21.687883,0.047577867118310024
LKA,1979,22.810078,0.050448738349771816
LKA,1980,23.013426,0.008875328906894797
LKA,1981,24.162785,0.048735854851807314
LKA,1982,26.031103,0.0744784526903679
LKA,1983,25.67312,-0.013847562138211256
LKA,1984,27.215025,0.058324680342665136
LKA,1985,25.695911,-0.057437336312545995
LKA,1986,27.04742,0.051259747631464236
LKA,1987,27.813168,0.027917955799840133
LKA,1988,27.516165,-0.010735927458650707
LKA,1989,26.79549,-0.026540060383458464
LKA,1990,29.88699,0.10918967887543829
LKA,1991,29.826563,-0.002023896338124054
LKA,1992,31.998472,0.07028877934889399
LKA,1993,34.900852,0.0868230898581892
LKA,1994,37.80947,0.0800483588310481
LKA,1995,40.738224,0.07460721597965625
LKA,1996,42.854855,0.05065212451406076
LKA,1997,44.23366,0.03166709687929492
LKA,1998,47.155613,0.06396700987134496
LKA,1999,50.71928,0.0728530668513625
LKA,2000,53.54662,0.054246561876314825
LKA,2001,52.03296,-0.028675312381285956
LKA,2002,53.509136,0.02797504173854204
LKA,2003,55.061676,0.028601533093524534
LKA,2004,53.50688,-0.028643695006940195
LKA,2005,61.786396,0.14387296701699226
LKA,2006,66.334045,0.0710200538602841
LKA,2007,67.44016,0.016537421527979212
LKA,2008,63.5758,-0.059007791378294705
LKA,2009,64.45984,0.013809499433000916
LKA,2010,69.6159,0.07695059530116932
LKA,2011,75.57897,0.08218508035867877
LKA,2012,77.95245,0.030920955529384564
LKA,2013,79.214134,0.016055717080354803
LKA,2014,85.12164,0.07192654983070224
LKA,2015,95.522896,0.1152846751176364
LKA,2016,104.5166,0.08997994302125623
LKA,2017,101.64732,-0.02783673571498735
LKA,2018,105.24625,0.034793667725137034
LKA,2019,107.676735,0.022830701640215167
LKA,2020,105.38566,-0.021506970394014502
LKA,2021,106.353,0.009137176272832725
LKA,2022,94.91825,-0.11374775517366231
LSO,1980,0.5979173,
LSO,1981,0.5962837,-0.0027358895512068493
LSO,1982,0.5962837,0.0
LSO,1983,0.5962837,0.0
LSO,1984,0.5979173,0.0027358895512068493
LSO,1985,0.65591204,0.09257424451527907
LSO,1986,0.68798614,0.04774199779359711
LSO,1987,0.68798614,0.0
LSO,1988,0.46299294,-0.39605688679173945
LSO,1989,0.68798614,0.39605688679173945
LSO,1990,0.8799782,0.2461284420565442
LSO,1991,0.8939775,0.015783472633434797
LSO,1992,0.9307942,0.04035759313818886
LSO,1993,0.9617728,0.032740047926156465
LSO,1994,1.0691706,0.10586023855663486
LSO,1995,1.08317,0.01300871936553584
LSO,1996,1.0962496,0.012002972747971283
LSO,1997,1.0771703,-0.01755738973032804
LSO,1998,0.9371532,-0.13924601966843983
LSO,1999,1.367564,0.377939564524993
LSO,2000,2.4693427,0.5909209469149781
LSO,2001,2.5016437,0.012995993963752839
LSO,2002,2.5715294,0.027552823354355493
LSO,2003,2.6158326,0.017081621538536984
LSO,2004,2.6253881,0.003646292012488561
LSO,2005,3.0930068,0.16391495947903412
LSO,2006,3.286833,0.06078079497184952
LSO,2007,3.9715817,0.18923994126677535
LSO,2008,3.6017246,-0.09775164214477083
LSO,2009,4.116414,0.13356960969690146
LSO,2010,4.3996096,0.06653341371094856
LSO,2011,3.9381018,-0.11081697914655297
LSO,2012,4.1526675,0.05305206826965159
LSO,2013,4.2373376,0.02018424865030166
LSO,2014,4.3456836,0.025247929118528356
LSO,2015,4.2430806,-0.023893514573752217
LSO,2016,4.593167,0.07928020232726274
LSO,2017,4.89175,0.06298034831564125
LSO,2018,4.7961416,-0.019738351342809324
LSO,2019,4.871765,0.01564453309983227
LSO,2020,4.7167816,-0.032329591817673586
LSO,2021,4.8659377,0.031132738540234017
LTU,1985,180.69313,
LTU,1986,166.729,-0.08043043822621776
LTU,1987,174.66803,0.04651746113246702
LTU,1988,183.31961,0.0483439312452294
LTU,1989,198.57251,0.07992319088654831
LTU,1990,201.90991,0.016667284721270548
LTU,1991,213.4511,0.05558615880337925
LTU,1992,130.76642,-0.4899950883882873
LTU,1993,102.26923,-0.24580383253420912
LTU,1994,88.25322,-0.14739866330002638
LTU,1995,98.637634,0.11124268995603881
LTU,1996,107.354294,0.08468165116888571
LTU,1997,98.98895,-0.08112629578138453
LTU,1998,106.15751,0.06991570684342907
LTU,1999,87.81855,-0.18965118063491282
LTU,2000,78.03437,-0.1181233832904578
LTU,2001,91.26609,0.15662993502414935
LTU,2002,97.401474,0.06506203831857071
LTU,2003,102.13443,0.0474485427343847
LTU,2004,102.862885,0.007107001046851913
LTU,2005,93.84335,-0.0917699850151843
LTU,2006,89.61744,-0.046076958872693474
LTU,2007,98.10395,0.09047768689881597
LTU,2008,97.13305,-0.00994594266028237
LTU,2009,90.03387,-0.0758957552681272
LTU,2010,65.75721,-0.31421661002739665
LTU,2011,68.49784,0.040832889083719515
LTU,2012,68.60062,0.0014993606675792748
LTU,2013,63.405746,-0.0787470843405993
