"Title:","Arriving Flights from the Airline Performance - Arrivals Database"
"SubTitle:","Airline"
"Time:","01/01/2010 - 09/30/2023"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2024-02-12). Airline Performance - Arrivals: Arriving Flights | AirTran Airways Corporation: FL, Alaska Airlines Inc.: AS, Allegiant Air: G4, American Airlines Inc.: AA, Comair Inc.: OH (1), Continental Air Lines Inc.: CO, Delta Air Lines Inc.: DL, Endeavor Air Inc.: 9E, Envoy Air: MQ, ExpressJet Airlines Inc.: XE, ExpressJet Airlines LLC: EV, Frontier Airlines Inc.: F9, Hawaiian Airlines Inc.: HA, Horizon Air: QX, JetBlue Airways: B6, Mesa Airlines Inc.: YV, PSA Airlines Inc.: OH, Republic Airline: YX, SkyWest Airlines Inc.: OO, Southwest Airlines Co.: WN, Spirit Air Lines: NK, United Air Lines Inc.: UA, US Airways Inc.: US (Merged with America West 9/05, Virgin America: VX, 01/01/2010 - 09/30/2023. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  007-001-002 doi:https://doi.org/10.6068/DP18D9FA76D170"
"ColumnCount:",25
"RowCount:",4991

"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"01/01/2010",645,314,,1450,268,688,1646,522,1118,794,510,217,204,,598,602,,,1443,2282,,901,1065,
"01/02/2010",663,341,,1367,376,654,1756,725,1016,852,800,185,203,,595,641,,,1564,2810,,945,974,
"01/03/2010",694,351,,1510,408,735,1882,724,1192,988,860,204,196,,610,675,,,1600,3146,,967,1081,
"01/04/2010",712,364,,1539,413,759,1958,707,1240,1025,807,220,185,,599,657,,,1605,3170,,966,1174,
"01/05/2010",606,350,,1536,366,624,1797,735,1232,854,806,213,182,,497,586,,,1548,3170,,901,1078,
"01/06/2010",604,346,,1536,369,624,1873,751,1232,868,841,213,183,,507,606,,,1623,3174,,908,1152,
"01/07/2010",653,356,,1538,388,688,1965,756,1232,991,864,216,183,,538,618,,,1634,3170,,910,1173,
"01/08/2010",679,351,,1541,385,682,1980,761,1230,994,859,217,193,,545,626,,,1631,3174,,923,1173,
"01/09/2010",622,300,,1368,238,534,1553,554,1011,586,594,181,186,,484,536,,,1284,2386,,781,894,
"01/10/2010",667,335,,1510,368,610,1842,701,1183,852,801,202,184,,538,593,,,1567,2676,,900,1064,
"01/11/2010",662,351,,1539,391,671,1959,751,1232,985,858,214,181,,534,597,,,1634,3124,,914,1107,
"01/12/2010",582,339,,1532,364,606,1796,742,1232,847,808,213,181,,490,578,,,1546,3124,,892,1076,
"01/13/2010",595,343,,1533,372,613,1869,752,1232,872,839,213,181,,503,598,,,1623,3124,,905,1154,
"01/14/2010",656,356,,1538,387,677,1965,753,1232,999,865,218,181,,536,608,,,1636,3124,,910,1173,
"01/15/2010",677,351,,1541,387,669,1975,757,1230,996,859,219,193,,543,620,,,1637,3124,,923,1173,
"01/16/2010",631,300,,1365,241,527,1543,545,1011,593,582,181,186,,480,530,,,1284,2019,,780,895,
"01/17/2010",665,335,,1510,274,604,1745,608,1183,864,688,202,184,,536,591,,,1501,2676,,900,1064,
"01/18/2010",661,351,,1539,375,662,1927,736,1232,994,839,214,179,,532,591,,,1635,3124,,913,1107,
"01/19/2010",584,341,,1532,368,603,1798,743,1232,850,801,213,179,,486,578,,,1552,3124,,892,1074,
"01/20/2010",593,343,,1533,374,610,1871,753,1232,874,827,213,179,,495,591,,,1626,3124,,905,1154,
"01/21/2010",658,356,,1538,390,673,1965,756,1232,1003,855,216,179,,528,602,,,1638,3124,,909,1173,
"01/22/2010",676,351,,1541,387,667,1976,761,1230,1002,860,217,191,,536,616,,,1634,3124,,923,1173,
"01/23/2010",630,300,,1365,240,523,1558,554,1011,595,590,181,184,,474,528,,,1287,2019,,781,894,
"01/24/2010",664,335,,1512,371,598,1848,702,1183,865,792,202,182,,530,589,,,1573,2676,,898,1065,
"01/25/2010",659,351,,1539,395,662,1952,756,1232,995,857,214,179,,525,579,,,1641,3124,,910,1107,
"01/26/2010",582,339,,1532,367,603,1799,744,1232,851,801,213,179,,482,570,,,1554,3124,,888,1074,
"01/27/2010",593,342,,1533,375,611,1870,753,1232,878,833,211,179,,495,588,,,1630,3124,,901,1154,
"01/28/2010",656,355,,1538,397,677,1960,757,1232,1007,858,214,179,,528,602,,,1643,3124,,906,1173,
"01/29/2010",678,351,,1541,388,670,1982,759,1230,1004,853,217,191,,532,617,,,1640,3124,,919,1173,
"01/30/2010",627,299,,1365,242,524,1544,554,1011,598,588,183,186,,452,524,,,1290,2019,,777,894,
"01/31/2010",662,335,,1510,371,603,1844,703,1183,875,790,214,182,,522,586,,,1577,2676,,896,1064,
"02/01/2010",659,351,,1539,395,677,1956,758,1232,1030,850,226,179,,523,543,,,1646,3124,,900,1107,
"02/02/2010",582,339,,1532,370,610,1800,745,1232,887,797,219,179,,475,528,,,1560,3124,,888,1074,
"02/03/2010",595,343,,1533,374,620,1871,753,1232,910,828,219,179,,476,552,,,1634,3124,,901,1154,
"02/04/2010",657,356,,1538,390,692,1963,758,1232,1041,853,226,179,,519,564,,,1646,3124,,908,1173,
"02/05/2010",676,348,,1546,392,675,1974,763,1230,1040,852,229,191,,536,581,,,1645,3140,,919,1173,
"02/06/2010",625,299,,1365,258,532,1555,554,1011,626,582,195,184,,474,491,,,1291,2019,,777,894,
"02/07/2010",657,335,,1510,379,608,1835,702,1183,905,790,214,182,,530,554,,,1573,2676,,898,1065,
"02/08/2010",661,351,,1546,396,680,1953,757,1232,1043,850,226,179,,524,553,,,1648,3140,,911,1113,
"02/09/2010",575,341,,1532,366,608,1800,745,1232,889,798,221,179,,480,537,,,1560,3124,,888,1075,
"02/10/2010",584,343,,1531,381,622,1865,743,1232,911,829,223,179,,493,558,,,1627,3119,,902,1158,
"02/11/2010",685,356,,1549,410,716,1986,752,1232,1081,879,230,179,,570,572,,,1689,3156,,956,1157,
"02/12/2010",697,353,,1557,417,719,2009,769,1230,1083,896,231,191,,587,582,,,1690,3156,,981,1156,
"02/13/2010",643,307,,1314,309,576,1645,617,999,734,702,196,184,,544,524,,,1476,2252,,894,938,
"02/14/2010",673,337,,1418,358,662,1820,660,1127,973,763,212,182,,584,572,,,1611,2725,,947,1064,
"02/15/2010",697,353,,1520,409,711,1970,765,1208,1084,892,230,179,,578,562,,,1688,3156,,979,1099,
"02/16/2010",677,347,,1545,406,693,1943,756,1232,1069,862,227,179,,566,552,,,1660,3156,,960,1083,
"02/17/2010",679,349,,1548,411,707,1957,763,1232,1076,888,221,179,,565,566,,,1680,3156,,974,1146,
"02/18/2010",691,358,,1552,418,719,1999,766,1232,1086,898,226,179,,578,576,,,1688,3156,,978,1156,
"02/19/2010",695,353,,1557,419,713,2008,762,1230,1095,896,231,191,,587,583,,,1690,3156,,984,1154,
"02/20/2010",635,312,,1388,318,573,1666,631,1011,733,707,196,186,,544,523,,,1503,2252,,884,939,
"02/21/2010",669,337,,1521,395,662,1889,723,1185,978,873,212,182,,584,572,,,1638,2725,,948,1063,
"02/22/2010",691,353,,1551,417,706,1988,765,1232,1092,896,228,179,,576,554,,,1688,3156,,978,1096,
"02/23/2010",675,343,,1545,406,640,1941,756,1232,928,861,225,179,,566,548,,,1656,3156,,971,1083,
"02/24/2010",676,345,,1548,411,651,1957,763,1232,936,888,221,179,,562,564,,,1684,3156,,964,1146,
"02/25/2010",692,358,,1552,418,717,2001,766,1232,1094,899,226,179,,576,578,,,1688,3156,,978,1156,
"02/26/2010",696,353,,1557,419,715,2008,762,1230,1097,896,232,191,,583,583,,,1690,3156,,983,1154,
"02/27/2010",637,310,,1388,318,573,1668,628,1011,740,711,195,184,,544,523,,,1496,2244,,894,934,
"02/28/2010",668,337,,1521,395,661,1893,722,1185,981,869,215,182,,579,568,,,1638,2725,,946,1064,
"03/01/2010",692,353,,1551,417,704,1999,763,1232,1144,890,230,175,,572,530,,,1702,3156,,950,1108,
"03/02/2010",671,350,,1545,399,630,1963,754,1230,978,860,213,171,,568,524,,,1668,3156,,969,1103,
"03/03/2010",672,350,,1548,408,643,1980,763,1231,984,887,225,171,,567,538,,,1692,3156,,973,1167,
"03/04/2010",690,358,,1552,418,710,2015,770,1231,1138,893,230,171,,579,544,,,1700,3156,,976,1170,
"03/05/2010",700,353,,1557,419,709,2023,768,1229,1142,892,231,187,,589,549,,,1704,3156,,981,1165,
"03/06/2010",638,314,,1390,320,576,1680,639,1011,788,709,197,180,,547,506,,,1513,2244,,897,948,
"03/07/2010",673,337,,1521,396,660,1908,728,1185,1040,864,216,178,,585,541,,,1653,2725,,945,1079,
"03/08/2010",692,353,,1551,419,692,2012,765,1231,1169,887,230,175,,575,528,,,1701,3156,,976,1109,
"03/09/2010",689,350,,1545,405,631,1966,759,1231,1004,856,215,171,,568,523,,,1666,3156,,969,1103,
"03/10/2010",687,348,,1548,409,644,1980,765,1231,1008,882,225,173,,567,530,,,1691,3156,,973,1167,
"03/11/2010",692,360,,1552,418,709,2017,770,1231,1167,892,229,171,,579,542,,,1699,3156,,976,1170,
"03/12/2010",701,349,,1557,418,713,2027,766,1229,1168,890,231,187,,591,549,,,1702,3156,,981,1165,
"03/13/2010",643,315,,1390,319,585,1689,638,1011,827,710,200,180,,547,506,,,1510,2338,,893,949,
"03/14/2010",680,347,,1521,396,662,1903,729,1185,1042,867,215,178,,579,543,,,1650,2901,,945,1078,
"03/15/2010",696,365,,1551,419,690,2012,768,1231,1166,887,230,175,,575,528,,,1698,3272,,974,1109,
"03/16/2010",687,361,,1545,403,635,1965,759,1231,999,856,225,171,,568,516,,,1666,3272,,967,1103,
"03/17/2010",681,361,,1548,409,647,1981,765,1231,1008,882,225,171,,567,536,,,1690,3272,,971,1167,
"03/18/2010",690,368,,1552,418,710,2021,770,1231,1169,886,230,171,,579,544,,,1698,3272,,974,1170,
"03/19/2010",700,365,,1557,419,709,2029,768,1229,1170,887,231,187,,589,549,,,1702,3272,,979,1165,
"03/20/2010",643,339,,1390,320,579,1685,640,1011,826,708,200,182,,548,506,,,1511,2652,,897,948,
"03/21/2010",682,350,,1521,396,663,1914,729,1185,1047,859,217,178,,587,543,,,1651,2901,,946,1079,
"03/22/2010",696,365,,1551,419,691,2012,766,1231,1169,886,230,175,,576,524,,,1700,3272,,976,1109,
"03/23/2010",690,361,,1545,405,631,1964,759,1231,1000,856,223,171,,568,516,,,1668,3272,,969,1103,
"03/24/2010",691,361,,1548,409,643,1982,765,1231,1009,882,233,171,,567,532,,,1693,3272,,973,1167,
"03/25/2010",693,365,,1552,418,710,2017,770,1231,1167,890,230,171,,579,542,,,1700,3272,,976,1170,
"03/26/2010",701,363,,1557,419,712,2028,766,1229,1168,889,227,187,,589,546,,,1704,3272,,981,1165,
"03/27/2010",641,339,,1390,320,578,1677,640,1011,821,704,195,180,,547,501,,,1510,2652,,901,948,
"03/28/2010",678,350,,1521,396,652,1911,726,1185,1042,858,212,178,,585,538,,,1654,2901,,941,1079,
"03/29/2010",696,363,,1551,419,682,2006,765,1231,1167,887,230,175,,575,524,,,1693,3272,,962,1111,
"03/30/2010",691,360,,1545,405,623,1960,759,1231,1004,856,226,171,,568,516,,,1664,3272,,955,1103,
"03/31/2010",693,359,,1548,409,634,1976,765,1231,1011,882,225,171,,567,528,,,1688,3271,,958,1167,
"04/01/2010",692,369,,1552,418,692,2008,770,1231,1170,886,230,173,,577,542,,,1691,3270,,943,1170,
"04/02/2010",701,359,,1557,413,698,2003,766,1229,1169,889,227,187,,588,550,,,1694,3270,,965,1165,
"04/03/2010",642,335,,1390,320,562,1657,635,1011,816,703,194,180,,556,489,,,1434,2650,,819,950,
"04/04/2010",679,344,,1521,396,651,1906,725,1185,1035,855,213,178,,586,539,,,1642,2899,,936,1075,
"04/05/2010",688,362,,1535,420,685,2003,760,1214,1164,889,230,178,,578,524,,,1690,3270,,962,1110,
"04/06/2010",688,358,,1494,398,619,1978,757,1221,980,820,229,172,,578,512,,,1649,3270,,950,1102,
"04/07/2010",683,360,,1503,406,617,2045,762,1236,983,826,227,173,,578,532,,,1699,3270,,952,1165,
"04/08/2010",684,365,,1506,418,690,2054,767,1236,1148,833,230,175,,578,540,,,1698,3270,,958,1168,
"04/09/2010",681,362,,1510,410,688,2056,766,1234,1139,843,231,188,,588,549,,,1700,3270,,965,1163,
"04/10/2010",634,333,,1356,315,566,1622,550,1029,772,642,202,181,,556,502,,,1371,2650,,844,944,
"04/11/2010",676,348,,1488,380,648,1926,721,1189,1003,840,218,178,,586,545,,,1668,2899,,940,1079,
"04/12/2010",688,362,,1509,413,678,2061,766,1236,1147,837,230,178,,578,522,,,1694,3270,,959,1111,
"04/13/2010",694,360,,1500,399,606,1984,764,1236,974,817,227,172,,568,512,,,1638,3270,,944,1092,
"04/14/2010",697,360,,1503,409,610,2044,761,1236,984,835,225,173,,568,528,,,1697,3270,,951,1154,
"04/15/2010",690,365,,1506,406,693,2064,760,1236,1145,844,228,173,,566,536,,,1695,3270,,956,1159,
"04/16/2010",703,362,,1510,411,692,2068,757,1234,1138,845,231,188,,571,545,,,1700,3270,,967,1160,
"04/17/2010",652,335,,1356,300,567,1660,535,1029,777,636,201,181,,538,499,,,1362,2650,,857,941,
"04/18/2010",685,348,,1488,378,654,1967,716,1191,1010,839,217,178,,568,546,,,1666,2899,,947,1071,
"04/19/2010",695,363,,1509,409,683,2072,763,1236,1146,849,228,178,,563,518,,,1694,3270,,959,1099,
"04/20/2010",693,361,,1500,401,612,1989,763,1236,976,815,226,172,,542,512,,,1634,3270,,947,1090,
"04/21/2010",697,360,,1503,407,619,2043,761,1236,984,835,228,173,,543,532,,,1699,3270,,953,1157,
"04/22/2010",694,369,,1506,410,690,2065,766,1236,1148,844,228,173,,552,534,,,1696,3270,,955,1161,
"04/23/2010",703,362,,1510,412,697,2075,761,1234,1143,845,228,188,,559,547,,,1702,3270,,966,1160,
"04/24/2010",651,333,,1356,303,566,1664,541,1031,777,636,196,181,,516,499,,,1362,2650,,857,939,
"04/25/2010",686,348,,1488,375,660,1965,718,1191,1010,841,208,178,,556,544,,,1666,2899,,955,1076,
"04/26/2010",698,362,,1509,409,686,2072,763,1236,1144,847,228,178,,549,522,,,1681,3270,,956,1099,
"04/27/2010",694,360,,1500,399,614,1989,763,1236,974,817,222,172,,530,512,,,1621,3270,,945,1092,
"04/28/2010",697,360,,1503,409,619,2045,761,1236,981,832,228,173,,533,530,,,1686,3270,,952,1157,
"04/29/2010",693,369,,1506,411,698,2070,766,1236,1155,837,228,173,,544,534,,,1685,3270,,953,1161,
"04/30/2010",702,362,,1510,419,700,2096,762,1234,1161,852,228,188,,553,517,,,1690,3270,,965,1160,
"05/01/2010",647,333,,1349,274,570,1690,537,1019,826,664,195,181,,484,431,,,1372,2650,,843,936,
"05/02/2010",685,358,,1485,378,665,1973,729,1185,1130,858,205,178,,529,456,,,1672,2905,,950,1069,
"05/03/2010",693,368,,1503,412,695,2073,779,1226,1204,883,233,178,,526,430,,,1710,3270,,958,1097,
"05/04/2010",689,366,,1496,416,609,2026,779,1226,1045,868,231,172,,492,426,,,1647,3270,,943,1083,
"05/05/2010",700,364,,1499,410,623,2061,777,1226,1054,872,234,173,,498,440,,,1710,3270,,951,1146,
"05/06/2010",694,378,,1500,408,697,2082,777,1226,1212,880,234,175,,526,444,,,1712,3270,,956,1157,
"05/07/2010",704,374,,1504,407,700,2076,777,1224,1216,885,235,188,,536,455,,,1716,3270,,968,1158,
"05/08/2010",671,345,,1350,277,542,1685,537,1019,815,672,209,181,,477,427,,,1387,2621,,855,930,
"05/09/2010",691,362,,1482,380,648,1971,731,1181,1102,859,222,178,,529,454,,,1670,3007,,950,1072,
"05/10/2010",698,372,,1503,408,688,2081,776,1226,1203,882,233,178,,526,452,,,1697,3336,,960,1164,
"05/11/2010",696,370,,1496,408,606,2035,777,1226,1048,870,229,172,,492,446,,,1633,3336,,945,1148,
"05/12/2010",698,368,,1499,406,623,2061,777,1226,1052,880,233,173,,498,450,,,1696,3336,,950,1151,
"05/13/2010",695,379,,1504,410,704,2072,776,1226,1212,886,233,173,,528,454,,,1699,3336,,958,1158,
"05/14/2010",704,374,,1508,408,708,2079,776,1224,1216,885,241,188,,538,463,,,1706,3336,,968,1162,
"05/15/2010",672,346,,1354,274,545,1696,540,1019,817,670,212,181,,479,433,,,1381,2675,,854,918,
"05/16/2010",690,375,,1486,380,655,1970,729,1181,1104,863,232,178,,531,458,,,1669,3007,,947,1072,
"05/17/2010",698,386,,1507,405,692,2090,776,1226,1203,880,243,178,,529,456,,,1709,3336,,960,1163,
"05/18/2010",695,385,,1500,406,609,2037,777,1226,1046,873,239,172,,504,446,,,1645,3336,,943,1148,
"05/19/2010",697,380,,1503,406,631,2064,775,1226,1052,878,244,173,,508,446,,,1708,3336,,953,1151,
"05/20/2010",690,393,,1504,404,707,2086,776,1226,1212,884,245,173,,531,454,,,1710,3336,,956,1158,
"05/21/2010",704,389,,1508,403,711,2088,780,1224,1217,881,246,188,,543,465,,,1716,3336,,966,1162,
"05/22/2010",672,355,,1354,270,544,1700,542,1019,818,666,214,181,,485,432,,,1388,2675,,854,918,
"05/23/2010",689,375,,1486,375,657,1978,730,1181,1104,863,230,178,,537,455,,,1671,3023,,946,1072,
"05/24/2010",698,386,,1507,411,692,2083,774,1226,1203,884,243,178,,534,452,,,1697,3352,,960,1163,
"05/25/2010",696,384,,1500,401,610,2040,777,1226,1046,878,240,172,,508,446,,,1633,3352,,944,1148,
"05/26/2010",693,380,,1502,396,630,2070,775,1226,1052,888,244,173,,511,450,,,1697,3352,,950,1151,
"05/27/2010",722,393,,1504,391,708,2089,777,1226,1216,896,243,173,,552,464,,,1698,3352,,971,1231,
"05/28/2010",733,395,,1508,384,710,2077,778,1224,1220,911,244,188,,563,465,,,1712,3352,,975,1236,
"05/29/2010",622,359,,1288,273,541,1696,538,1019,792,683,206,181,,517,418,,,1331,2691,,825,888,
"05/30/2010",666,372,,1342,242,527,1633,547,1117,706,659,207,178,,547,395,,,1276,2440,,754,958,
"05/31/2010",731,389,,1491,347,680,1996,727,1208,1067,877,244,178,,563,452,,,1692,3025,,961,1132,
"06/01/2010",724,385,,1500,381,687,2077,783,1222,1213,900,240,172,,540,454,,,1705,3357,,953,1167,
"06/02/2010",726,382,,1503,385,635,2077,784,1222,1069,895,244,173,,518,456,,,1708,3358,,954,1173,
"06/03/2010",720,395,,1504,386,707,2093,786,1222,1218,893,242,173,,545,456,,,1707,3358,,957,1173,
"06/04/2010",727,391,,1508,392,712,2089,787,1222,1226,891,248,189,,557,465,,,1710,3358,,968,1175,
"06/05/2010",693,349,,1362,265,547,1706,541,1019,835,686,220,183,,502,446,,,1387,2696,,851,964,
"06/06/2010",717,407,,1486,369,659,1980,742,1177,1104,861,235,182,,552,457,,,1667,3029,,947,1087,
"06/07/2010",727,417,,1507,406,700,2090,787,1222,1215,884,246,180,,551,462,,,1689,3358,,960,1170,
"06/08/2010",729,412,,1500,401,616,2054,787,1222,1051,877,244,174,,514,462,,,1630,3358,,948,1167,
"06/09/2010",736,411,,1503,404,633,2072,778,1220,1082,885,248,175,,517,456,,,1722,3358,,990,1171,
"06/10/2010",734,423,,1522,439,715,2192,785,1226,1253,948,245,203,,545,456,,,1769,3358,,992,1169,
"06/11/2010",740,422,,1524,424,714,2227,791,1229,1258,961,252,214,,557,459,,,1772,3358,,1010,1173,
"06/12/2010",696,390,,1395,285,582,1958,667,1023,951,847,221,203,,506,447,,,1647,2696,,942,964,
"06/13/2010",719,416,,1498,396,673,2158,750,1182,1144,933,238,202,,552,458,,,1768,3037,,997,1086,
"06/14/2010",734,423,,1523,439,701,2232,787,1230,1269,961,247,204,,551,456,,,1777,3366,,995,1167,
"06/15/2010",735,418,,1521,435,698,2226,793,1230,1232,954,241,184,,521,454,,,1775,3366,,992,1167,
"06/16/2010",742,417,,1522,441,710,2224,795,1230,1241,954,247,191,,522,458,,,1779,3366,,992,1169,
"06/17/2010",735,428,,1524,436,716,2233,788,1224,1251,961,248,203,,558,460,,,1779,3366,,991,1171,
"06/18/2010",741,426,,1524,436,714,2232,788,1223,1263,964,251,218,,565,459,,,1785,3366,,1009,1171,
"06/19/2010",698,392,,1395,276,584,1962,665,1021,956,842,221,205,,539,445,,,1654,2702,,943,964,
"06/20/2010",720,416,,1498,393,671,2148,755,1180,1149,932,238,206,,563,460,,,1773,3037,,1000,1087,
"06/21/2010",733,423,,1523,437,703,2221,789,1224,1266,961,246,208,,566,458,,,1768,3366,,999,1170,
"06/22/2010",734,418,,1521,434,698,2224,792,1224,1238,957,243,188,,564,459,,,1750,3366,,994,1167,
"06/23/2010",740,417,,1522,437,711,2222,793,1224,1253,958,247,195,,560,458,,,1760,3366,,994,1171,
"06/24/2010",733,428,,1524,436,714,2230,786,1224,1258,962,248,207,,565,458,,,1770,3366,,993,1171,
"06/25/2010",739,426,,1524,436,714,2234,788,1223,1258,964,251,224,,568,459,,,1774,3366,,1012,1173,
"06/26/2010",696,392,,1395,286,584,1981,655,1021,962,843,221,205,,541,443,,,1658,2702,,947,964,
"06/27/2010",719,416,,1498,395,673,2155,750,1180,1149,929,238,212,,565,458,,,1783,3047,,999,1087,
"06/28/2010",733,425,,1523,437,703,2247,787,1224,1260,961,246,208,,567,459,,,1791,3376,,997,1170,
"06/29/2010",734,417,,1521,435,698,2243,787,1224,1238,959,243,188,,564,458,,,1787,3376,,994,1167,
"06/30/2010",740,417,,1522,443,711,2229,792,1224,1250,957,248,195,,560,458,,,1790,3376,,994,1172,
"07/01/2010",733,430,,1524,455,716,2217,783,1223,1258,962,248,207,,574,470,,,1759,3376,,982,1228,
"07/02/2010",740,428,,1532,453,709,2200,795,1230,1269,960,252,224,,582,469,,,1752,3376,,1012,1227,
"07/03/2010",696,391,,1336,302,570,1931,669,1031,946,833,214,205,,545,413,,,1538,2712,,890,943,
"07/04/2010",649,360,,1322,268,531,1700,529,1106,768,700,202,212,,577,387,,,1212,2208,,724,915,
"07/05/2010",731,424,,1478,433,673,2137,742,1224,1158,952,242,208,,582,469,,,1674,3048,,957,1173,
"07/06/2010",734,418,,1527,456,698,2198,796,1234,1249,952,245,188,,582,458,,,1743,3376,,994,1169,
"07/07/2010",740,417,,1528,458,705,2191,797,1234,1263,958,251,195,,577,458,,,1749,3376,,996,1173,
"07/08/2010",736,430,,1530,457,710,2183,792,1234,1263,959,248,207,,579,456,,,1745,3376,,994,1173,
"07/09/2010",742,428,,1534,453,707,2191,791,1233,1265,960,252,224,,582,459,,,1751,3376,,1012,1175,
"07/10/2010",698,392,,1409,302,572,1924,668,1032,977,843,223,205,,546,439,,,1617,2712,,947,967,
"07/11/2010",721,418,,1508,414,671,2092,745,1187,1171,923,242,212,,575,466,,,1742,3047,,1000,1088,
"07/12/2010",736,425,,1529,458,703,2189,788,1234,1276,961,246,208,,581,456,,,1759,3376,,999,1172,
"07/13/2010",736,418,,1527,457,694,2181,799,1234,1248,955,243,188,,581,457,,,1755,3376,,994,1169,
"07/14/2010",740,417,,1528,458,703,2172,797,1236,1268,959,250,195,,577,458,,,1761,3376,,993,1173,
"07/15/2010",736,430,,1530,457,712,2197,788,1240,1261,970,249,207,,579,458,,,1759,3376,,994,1173,
"07/16/2010",740,428,,1534,453,709,2197,793,1241,1263,974,253,224,,582,457,,,1768,3376,,1015,1175,
"07/17/2010",698,392,,1409,303,574,1935,667,1038,987,852,223,205,,547,438,,,1621,2712,,951,967,
"07/18/2010",721,419,,1508,411,671,2119,747,1193,1159,943,242,212,,577,464,,,1749,3047,,1004,1088,
"07/19/2010",737,425,,1529,458,705,2197,786,1240,1274,974,246,208,,581,453,,,1760,3376,,1002,1170,
"07/20/2010",736,418,,1527,460,694,2193,795,1240,1248,961,244,188,,582,448,,,1755,3376,,998,1167,
"07/21/2010",740,417,,1528,458,701,2187,796,1240,1266,969,251,195,,579,454,,,1761,3376,,1000,1171,
"07/22/2010",735,430,,1530,456,712,2194,791,1242,1261,973,250,207,,580,456,,,1756,3376,,998,1171,
"07/23/2010",742,428,,1534,453,705,2201,793,1241,1265,972,256,224,,582,457,,,1763,3376,,1015,1173,
"07/24/2010",698,392,,1409,298,574,1930,669,1038,987,855,225,205,,547,439,,,1620,2712,,951,965,
"07/25/2010",722,418,,1508,416,669,2111,745,1195,1161,940,242,212,,577,464,,,1747,3047,,1002,1086,
"07/26/2010",737,425,,1529,458,703,2200,787,1241,1276,973,246,208,,581,452,,,1759,3376,,1002,1170,
"07/27/2010",736,418,,1527,458,696,2188,800,1242,1246,965,244,188,,582,453,,,1755,3376,,998,1167,
"07/28/2010",740,417,,1528,458,701,2178,800,1242,1268,968,251,195,,579,454,,,1761,3376,,998,1171,
"07/29/2010",736,430,,1530,457,712,2182,793,1242,1259,972,249,207,,580,452,,,1759,3376,,997,1171,
"07/30/2010",742,428,,1532,454,707,2191,795,1241,1269,972,254,224,,582,455,,,1765,3376,,1016,1173,
"07/31/2010",698,392,,1409,303,574,1927,667,1038,975,857,224,205,,549,439,,,1621,2712,,951,966,
"08/01/2010",721,418,,1508,407,673,2105,749,1197,1163,950,244,212,,577,465,,,1747,3047,,992,1083,
"08/02/2010",737,425,,1529,459,701,2185,789,1246,1276,977,246,208,,581,458,,,1759,3376,,1006,1166,
"08/03/2010",736,418,,1527,454,692,2179,797,1246,1252,968,244,188,,582,456,,,1755,3376,,1004,1163,
"08/04/2010",740,417,,1528,457,701,2173,794,1246,1268,970,249,195,,579,456,,,1760,3376,,1006,1167,
"08/05/2010",736,430,,1530,452,712,2185,789,1246,1261,972,248,207,,580,454,,,1758,3376,,1002,1167,
"08/06/2010",742,428,,1534,445,707,2183,791,1245,1265,978,253,224,,582,459,,,1764,3376,,1022,1169,
"08/07/2010",698,392,,1409,316,574,1915,666,1053,987,861,223,205,,549,441,,,1624,2712,,954,961,
"08/08/2010",721,418,,1508,414,671,2112,746,1200,1159,944,244,212,,577,466,,,1751,3047,,1005,1084,
"08/09/2010",737,425,,1529,450,697,2176,789,1246,1276,979,246,208,,580,458,,,1759,3376,,1009,1166,
"08/10/2010",736,418,,1527,452,694,2177,795,1246,1252,971,244,188,,580,456,,,1755,3376,,1003,1163,
"08/11/2010",740,417,,1528,456,704,2180,795,1246,1264,974,250,195,,577,454,,,1758,3376,,1006,1165,
"08/12/2010",736,430,,1530,452,712,2171,789,1246,1261,980,248,207,,577,458,,,1759,3376,,1003,1167,
"08/13/2010",742,428,,1534,450,701,2182,791,1245,1262,974,253,224,,578,461,,,1765,3376,,1015,1169,
"08/14/2010",698,392,,1409,325,571,1923,655,1053,988,860,223,205,,545,441,,,1623,2682,,956,961,
"08/15/2010",721,418,,1508,415,671,2108,739,1200,1157,945,244,212,,574,466,,,1754,2781,,1004,1084,
"08/16/2010",735,425,,1529,448,698,2177,779,1246,1269,984,246,208,,579,460,,,1755,3264,,1003,1163,
