Entity,Code,Day,total_boosters
Africa,,2022-03-02,13288808
Africa,,2022-03-03,13294664
Africa,,2022-03-04,13995274
Africa,,2022-03-05,14016105
Africa,,2022-03-06,14023959
Africa,,2022-03-07,14080199
Africa,,2022-03-08,14086382
Africa,,2022-03-09,14202952
Africa,,2022-03-10,14714564
Africa,,2022-03-11,14903938
Africa,,2022-03-12,14905977
Africa,,2022-03-13,14922220
Africa,,2022-03-14,14955065
Africa,,2022-03-15,15009057
Africa,,2022-03-16,15061626
Africa,,2022-03-17,15471415
Africa,,2022-03-18,15527298
Africa,,2022-03-19,15573496
Africa,,2022-03-20,15988322
Africa,,2022-03-21,16062332
Africa,,2022-03-22,16075105
Africa,,2022-03-23,16213435
Africa,,2022-03-24,16522571
Africa,,2022-03-25,16609184
Africa,,2022-03-26,16662843
Africa,,2022-03-27,18015979
Africa,,2022-03-28,18047782
Africa,,2022-03-29,18360236
Africa,,2022-03-30,18430235
Africa,,2022-03-31,18778074
Africa,,2022-04-01,18869050
Africa,,2022-04-02,18896179
Africa,,2022-04-03,19001514
Africa,,2022-04-04,19089927
Africa,,2022-04-05,19122971
Africa,,2022-04-06,19172867
Africa,,2022-04-07,19284491
Africa,,2022-04-08,19325296
Africa,,2022-04-09,19367161
Africa,,2022-04-10,19466342
Africa,,2022-04-11,19476433
Africa,,2022-04-12,19720215
Africa,,2022-04-13,19748522
Africa,,2022-04-14,19821788
Africa,,2022-04-15,19842891
Africa,,2022-04-16,19843391
Africa,,2022-04-17,19844942
Africa,,2022-04-18,19865936
Africa,,2022-04-19,19871635
Africa,,2022-04-20,19890976
Africa,,2022-04-21,19914953
Africa,,2022-04-22,19941115
Africa,,2022-04-23,20224685
Africa,,2022-04-24,20248092
Africa,,2022-04-25,20264055
Africa,,2022-04-26,21272143
Africa,,2022-04-27,21336996
Africa,,2022-04-28,21348889
Africa,,2022-04-29,21383914
Africa,,2022-04-30,21587208
Africa,,2022-05-01,22139383
Africa,,2022-05-02,22144339
Africa,,2022-05-03,22149141
Africa,,2022-05-04,22254900
Africa,,2022-05-05,22297376
Africa,,2022-05-06,22336574
Africa,,2022-05-07,22364227
Africa,,2022-05-08,22703506
Africa,,2022-05-09,22709574
Africa,,2022-05-10,22759277
Africa,,2022-05-11,22792778
Africa,,2022-05-12,22835205
Africa,,2022-05-13,22870945
Africa,,2022-05-14,23071277
Africa,,2022-05-15,23274028
Africa,,2022-05-16,23292723
Africa,,2022-05-17,23318505
Africa,,2022-05-18,23359552
Africa,,2022-05-19,23393156
Africa,,2022-05-20,23418060
Africa,,2022-05-21,23442703
Africa,,2022-05-22,23613249
Africa,,2022-05-23,23667110
Africa,,2022-05-24,23688012
Africa,,2022-05-25,23709520
Africa,,2022-05-26,23731472
Africa,,2022-05-27,23752954
Africa,,2022-05-28,23770935
Africa,,2022-05-29,24092135
Africa,,2022-05-30,24109048
Africa,,2022-05-31,24126104
Africa,,2022-06-01,24141190
Africa,,2022-06-02,24158135
Africa,,2022-06-03,24182301
Africa,,2022-06-04,24195782
Africa,,2022-06-05,24336044
Africa,,2022-06-06,24336907
Africa,,2022-06-07,24351645
Africa,,2022-06-08,24370145
Africa,,2022-06-09,24387970
Africa,,2022-06-10,24405032
Africa,,2022-06-11,24419595
Africa,,2022-06-12,24439797
Africa,,2022-06-13,24440519
Africa,,2022-06-14,25917343
Africa,,2022-06-15,26051776
Africa,,2022-06-16,26066460
Africa,,2022-06-17,26073030
Africa,,2022-06-18,26084780
Africa,,2022-06-19,27037946
Africa,,2022-06-20,27426907
Africa,,2022-06-21,27464525
Africa,,2022-06-22,27481375
Africa,,2022-06-23,27496169
Africa,,2022-06-24,27508473
Africa,,2022-06-25,27519018
Africa,,2022-06-26,29116685
Africa,,2022-06-27,29566346
Africa,,2022-06-28,29576102
Africa,,2022-06-29,29955843
Africa,,2022-06-30,29964865
Africa,,2022-07-01,29977399
Africa,,2022-07-02,29985831
